ID	freq1	freq2	freq3	freq4	freq5	freq6	amp1	amp2	amp3	amp4	amp5	amp6
0	25.3327	25.2844	23.3409	25.0945	25.6556	25.1760	-1.0713	0.6898	1.6737	-1.2620	0.5631	0.0703
1	23.0122	24.1731	25.5257	25.4775	24.3004	24.5705	0.3716	0.4588	1.3452	0.4052	0.6108	1.4746
2	25.7202	24.8457	23.6253	24.2346	24.1472	24.0719	-1.6553	0.1263	2.6017	0.8647	-1.2435	0.0779
3	24.8843	23.2578	23.9719	23.0239	25.1705	24.2323	-0.4592	1.5187	-0.6642	-1.4801	-0.2990	-0.2567
4	23.6695	25.4049	25.2733	23.0044	23.3311	25.9059	-0.0317	-2.6038	-1.3464	0.2705	1.3465	-2.3216
5	25.1590	24.0647	24.0284	24.3516	24.4934	24.1451	-2.2481	0.4002	0.9174	0.9722	-0.3555	-0.7453
6	23.2660	25.1926	24.1019	23.6142	24.8415	23.5860	-1.6012	0.4308	0.0176	0.1465	-1.1065	2.4547
7	25.7829	25.8136	24.5614	25.9725	25.9499	25.9423	-1.2928	0.8422	0.1520	0.9084	2.4108	0.0045
8	25.3253	24.1193	24.7011	24.2921	23.0759	24.4170	0.5844	0.1420	1.0487	-0.9300	-0.7554	-0.2073
9	25.0153	23.8136	25.5932	24.7112	24.8358	24.2245	-0.7853	-1.3576	0.9110	1.9907	0.7044	0.9911
10	25.5117	25.8126	24.1399	23.3028	23.6084	25.4390	-0.6491	-0.7988	-1.0385	-2.0348	-1.6326	-0.5721
11	24.8832	23.0649	23.3997	24.4141	23.2511	24.4492	-0.4234	-0.9179	-0.2124	0.0483	0.3222	0.2336
12	24.5607	24.3470	24.4502	23.3644	24.6476	24.4631	-1.5183	-2.0051	0.3784	0.4460	0.5946	1.7675
13	25.4981	24.0876	23.6821	24.5764	23.8761	24.6156	2.1837	-1.6508	-0.3890	-0.8674	-0.3871	0.0412
14	25.8296	24.7905	23.7952	24.2109	25.7786	25.4368	2.0386	0.3608	-1.3147	1.0887	1.1963	-1.7056
15	23.3277	23.4664	24.6582	23.3707	24.6393	24.2332	-1.8705	-0.6605	0.2533	-0.5110	-0.3012	0.0230
16	23.9890	23.5958	25.4672	23.6557	23.2192	25.6883	-1.3675	0.7002	0.7423	-0.8351	1.2143	-0.4788
