ID	freq1	freq2	freq3	freq4	freq5	freq6	amp1	amp2	amp3	amp4	amp5	amp6
0	57.8139	59.8044	59.2337	57.5764	57.2433	58.8997	-0.0246	-0.7417	0.8568	1.5639	-0.0232	0.5241
1	59.0053	58.6535	57.6722	59.2159	59.2346	59.3018	0.7943	-0.0755	-0.0875	-1.1324	1.1557	1.9284
2	57.7992	57.3038	59.4444	58.7989	57.9210	58.9732	-0.8007	-1.5406	0.6801	0.5765	1.0570	-0.0926
3	58.9241	59.2513	59.8291	58.3657	59.2557	59.1061	0.9217	-0.3064	1.1306	-1.4792	0.0573	-0.2709
4	59.3448	58.2363	59.6286	57.1368	58.5201	58.7863	0.7605	-0.2987	0.0401	-0.6497	-0.1667	0.1905
5	58.9634	58.2895	58.0403	58.9078	58.3229	57.5922	0.1474	-0.7452	1.0672	-0.4761	1.0319	0.4798
6	57.0632	58.8010	57.1599	58.0716	57.1792	58.5095	0.4841	0.5073	0.2008	0.9380	-0.1668	-0.1112
7	58.9697	58.6888	57.3336	57.5392	58.5732	59.3049	0.0278	0.1288	-0.5023	-1.2634	2.2338	1.4703
8	59.7654	57.8151	57.1761	58.0793	59.6090	58.9153	-0.8073	-0.6598	0.0700	-0.6137	2.1976	-0.2916
9	58.0399	59.2278	57.7165	58.7527	57.8635	57.2787	-0.5160	-0.4079	0.7806	0.5059	-0.2919	0.5394
10	59.2964	58.8243	58.3827	58.9102	58.8356	57.5799	-0.3031	-0.2854	1.4487	0.8369	0.3531	-1.5085
11	58.3594	59.5807	59.7974	57.4711	59.4052	59.7242	0.2679	0.7270	-1.5879	-0.5415	-1.1766	0.1241
12	57.8853	57.0497	57.0203	59.3968	59.2250	57.2305	-1.4149	-0.8817	0.1828	-2.2323	-1.7632	-0.0074
13	58.7907	57.2536	58.2638	57.3842	58.5899	59.2683	0.7598	1.6446	-2.4362	-0.3659	-1.0860	0.6282
14	59.2055	59.2594	57.8317	59.6078	58.4947	59.8196	-0.6280	-0.5572	-0.1736	-0.3519	1.1980	0.2361
15	57.0306	57.6474	57.8173	58.4409	58.3019	59.3637	0.9142	0.8403	0.3864	-0.0409	-0.7128	-1.7255
16	57.2649	57.8793	57.3088	59.6017	58.6246	57.8846	-0.6830	-0.7990	-0.3590	2.1210	-1.7694	0.6006
17	58.1904	59.8266	59.3192	59.0834	59.1165	58.5895	1.5371	-1.3231	0.0558	-1.5389	0.3432	0.6308
18	57.5507	58.5439	59.7505	58.1989	57.1869	59.0603	0.5578	0.4033	-0.4012	0.6384	0.7156	-0.0043
19	59.8089	57.3969	59.7908	59.1459	59.7505	58.5215	0.5599	1.1955	-0.8992	-0.3702	0.1890	0.6474
20	59.0003	59.3068	58.5842	59.4752	59.1473	57.1972	-0.3770	0.4347	-0.3496	-0.7034	1.1058	-0.9621
21	57.7582	59.3872	58.9618	59.2034	58.8962	59.0046	0.6571	-0.4704	-0.0292	1.0036	0.8184	-1.3732
22	59.6676	58.6183	58.0443	58.9576	58.3703	58.5635	0.2038	0.6173	0.8017	0.0067	0.2591	-0.9473
23	59.3945	58.8882	59.7023	57.8695	59.1722	59.6466	-0.9875	0.2979	-0.3254	1.0120	0.5691	0.7181
24	58.7965	59.8227	59.5286	58.9835	59.6430	59.3740	-0.7924	-0.8850	-0.4700	0.3739	-0.6659	-0.2633
25	57.4278	58.8832	57.2827	57.9791	57.9561	59.5702	1.2325	-1.0657	-0.0967	0.5021	-0.4479	-0.1850
26	59.9374	59.1393	59.3460	58.4200	59.3597	59.5036	-0.4594	0.1358	0.7408	-1.3828	1.4140	0.8318
27	59.8536	58.7544	59.5555	58.2825	59.2142	59.6063	0.9120	1.9727	-0.5383	1.5652	2.1069	1.4845
28	57.8134	59.7405	59.4872	58.9777	59.4108	59.8792	-0.8910	-2.7791	-1.1015	-0.3926	-0.6218	-1.6005
29	58.0654	58.3392	58.6241	57.8830	57.4902	57.3833	-0.8863	0.0928	2.5644	-0.8979	-0.6811	0.4336
30	57.2158	57.0849	59.0682	58.6196	57.8637	58.5601	1.1342	0.5342	-0.5859	1.2554	-0.7646	0.8503
31	58.7168	59.7068	59.0811	58.9094	59.7372	59.8787	0.4088	0.8693	1.0611	0.7906	-0.6740	2.1374
32	58.9393	57.7058	57.1601	58.7644	57.4356	57.8223	-0.1769	1.2926	-0.0627	-1.3816	0.1197	-0.9849
33	58.5559	57.4136	58.5820	57.4442	59.0077	57.5405	0.0524	0.4307	-1.1905	-0.3403	-0.0714	-0.7756
34	58.2740	58.0500	58.1389	58.6949	58.6112	57.6345	0.2261	-1.6182	2.2695	0.3556	-0.4133	0.4461
35	57.1992	57.8993	57.7554	58.5720	57.5508	58.1223	-0.9893	0.2690	1.7695	1.3142	0.0141	0.6050
36	59.7512	57.7417	57.6816	57.9276	59.2384	59.6608	0.2433	2.3862	-0.3480	-0.6532	0.7901	0.4706
37	58.0510	59.9019	59.3742	59.8378	59.6045	58.0447	1.2823	-0.6502	-0.1709	1.9279	1.7797	1.1674
38	59.4315	59.1359	57.3346	59.3573	57.6420	57.1198	0.8222	1.5531	-0.1769	-1.5247	0.1678	-0.6215
39	58.3561	59.0002	58.9724	58.0083	59.0704	59.3829	-1.1074	-0.7247	0.1183	1.0981	0.2738	-0.2198
40	57.6288	58.6191	57.5385	58.0825	58.4239	57.2156	-1.8285	1.0664	0.7805	-0.6412	-0.5266	0.5073
41	59.1169	59.7890	58.3393	59.7967	58.7395	58.3903	-0.8288	0.7901	0.7032	1.3112	1.3945	-2.6600
42	57.3773	57.4152	59.7221	59.8839	58.6348	57.0123	0.0413	-2.0714	0.5199	-0.4260	0.8143	0.2538
43	59.6018	57.3443	59.0275	59.8119	57.1422	58.7284	-0.1290	-0.5667	-0.1523	-0.6213	0.0079	0.7310
44	58.0558	59.5599	57.6486	58.0820	58.4975	57.0039	-3.7251	-1.1115	1.2139	0.6572	1.6501	1.6220
45	57.7612	57.0907	57.5235	59.8550	57.4206	59.8587	0.6489	0.6773	0.1138	-0.0570	-0.8709	-1.0760
46	58.1535	59.9129	58.3391	58.7856	57.7421	59.6673	0.2809	-1.4385	0.7151	-2.0093	1.2399	0.2816
47	59.7813	59.6274	59.0345	58.2337	57.6003	58.4060	1.6000	-1.2113	-0.8357	-0.4253	1.2235	0.7897
48	59.6781	58.5304	58.1608	58.8779	59.5734	57.7588	-0.3309	-1.3250	0.6574	0.4781	0.4994	-0.3785
49	58.2744	58.2071	57.3872	58.0316	59.8097	58.0288	0.2893	-0.0360	-1.4445	0.9233	0.6778	1.0807
50	58.6564	58.3002	57.0103	59.9638	57.6456	59.2226	2.1369	0.1218	-1.3304	-1.1445	-0.1790	1.1934
